"SAMPLEID","StationCode","SiteDate","PerSampID","RepNum","sampletotals","BC_1.pa","BC_2.pa","BC_3.pa","BC_4.pa","BC_5.pa","TROPHIC_1.pa","TROPHIC_2.pa","TROPHIC_3.pa","TROPHIC_4.pa","TROPHIC_5.pa","TROPHIC_6.pa","TROPHIC_7.pa","SAP_1.pa","SAP_2.pa","SAP_3.pa","SAP_4.pa","SAP_5.pa","PT_1.pa","PT_2.pa","PT_3.pa","PT_4.pa","PT_5.pa","O_1.pa","O_2.pa","O_3.pa","O_4.pa","O_5.pa","SALINITY_1.pa","SALINITY_2.pa","SALINITY_3.pa","SALINITY_4.pa","Bahls_1.pa","Bahls_2.pa","Bahls_3.pa","LOW_P.pa","HIGH_P.pa","LOW_N.pa","HIGH_N.pa","BENTHIC_HABIT.pa","SESTONIC_HABIT.pa","N_FIXER.pa","NON_N_FIXER.pa","NON_MOTILE.pa","WEAKLY_MOTILE.pa","SLIGHTLY_MOTILE.pa","MODERATELY_MOTILE.pa","HIGHLY_MOTILE.pa","VERY_SMALL.pa","SMALL.pa","MEDIUM.pa","BIG.pa","VERY_BIG.pa","ACHNANTHIDIUM.pa","ACHNANTHIDIAE.pa","BACILLARIACEAE.pa","NAVICULA.pa","STALKED.pa","ADNATE.pa","HIGHLY_MOTILE.1.pa","ARAPHID.pa","CENTRIC.pa"
"1000_0","SR0090","SR0090_2016_8_24",1000,0,1,0.00949367088607595,0.113924050632911,0.522151898734177,0.30379746835443,0.0158227848101266,0.0316455696202532,0.0126582278481013,0.0126582278481013,0.0632911392405063,0.240506329113924,0.00316455696202532,0.525316455696203,0.0379746835443038,0.651898734177215,0.132911392405063,0.0537974683544304,0,0.0379746835443038,0.0537974683544304,0.00316455696202532,0.341772151898734,0.00632911392405063,0.541139240506329,0.126582278481013,0.14873417721519,0.0348101265822785,0,0.0443037974683544,0.79746835443038,0.0474683544303797,0,0.0569620253164557,0.060126582278481,0.417721518987342,0.332278481012658,0.129746835443038,0.490506329113924,0.221518987341772,1,0,0.00316455696202532,0.996835443037975,0.275316455696203,0.00316455696202532,0.471518987341772,0.212025316455696,0.0379746835443038,0.60126582278481,0.212025316455696,0.117088607594937,0.00949367088607595,0,0.300632911392405,0.395569620253165,0.0379746835443038,0.0537974683544304,0.136075949367089,0.39873417721519,0.158227848101266,0.275316455696203,0
"1001_0","SR0096","SR0096_2016_8_25",1001,0,1,0.0132669983416252,0.0961857379767828,0.459369817578773,0.407960199004975,0.021558872305141,0.0033167495854063,0.0033167495854063,0.0066334991708126,0.127694859038143,0.427860696517413,0.0066334991708126,0.301824212271973,0.0796019900497512,0.759535655058043,0.0348258706467662,0.00995024875621891,0.0033167495854063,0.0132669983416252,0.0033167495854063,0.00165837479270315,0.673300165837479,0.00995024875621891,0.318407960199005,0.308457711442786,0.170812603648425,0.0066334991708126,0,0.0066334991708126,0.82089552238806,0.0530679933665008,0.0033167495854063,0.0165837479270315,0.0796019900497512,0.499170812603648,0.295190713101161,0.27363184079602,0.295190713101161,0.538971807628524,0.998341625207297,0.00165837479270315,0,0.996683250414594,0.021558872305141,0.154228855721393,0.388059701492537,0.349917081260365,0.0862354892205638,0.343283582089552,0.411276948590381,0.104477611940299,0.109452736318408,0,0.233830845771144,0.240464344941957,0.0961857379767827,0.240464344941957,0.0928689883913764,0.436152570480929,0.358208955223881,0.0199004975124378,0.00165837479270315
"1002_0","SR0093","SR0093_2016_8_29",1002,0,1,0.0166112956810631,0.10797342192691,0.254152823920266,0.548172757475083,0.0548172757475083,0,0.00166112956810631,0.0166112956810631,0.13953488372093,0.51328903654485,0.00166112956810631,0.13953488372093,0.00498338870431894,0.656146179401993,0.119601328903654,0.0315614617940199,0.00166112956810631,0.00166112956810631,0.00498338870431894,0,0.435215946843854,0.0348837209302326,0.229235880398671,0.345514950166113,0.119601328903654,0.0116279069767442,0.0215946843853821,0.00166112956810631,0.747508305647841,0.0564784053156146,0,0.00166112956810631,0.144518272425249,0.430232558139535,0.0847176079734219,0.302325581395349,0.0963455149501661,0.559800664451827,0.978405315614618,0.0215946843853821,0,1,0.169435215946844,0.0398671096345515,0.363787375415282,0.378737541528239,0.0481727574750831,0.390365448504983,0.250830564784053,0.272425249169435,0.0681063122923588,0,0.0681063122923588,0.0764119601328904,0.0431893687707641,0.240863787375415,0.267441860465116,0.10797342192691,0.318936877076412,0.147840531561462,0.0215946843853821
"1003_0","WB0462","WB0462_2016_8_30",1003,0,1,0.0318091451292246,0.262425447316103,0.20675944333996,0.276341948310139,0.147117296222664,0.0099403578528827,0.0636182902584493,0.0298210735586481,0.0894632206759443,0.516898608349901,0.0178926441351889,0.0636182902584493,0.0497017892644135,0.42544731610338,0.182902584493042,0.0974155069582505,0.0099403578528827,0.0437375745526839,0.0974155069582505,0.0099403578528827,0.149105367793241,0.0159045725646123,0.0596421471172962,0.304174950298211,0.198807157057654,0.025844930417495,0.0437375745526839,0.0278330019880716,0.675944333996024,0.10934393638171,0.00795228628230616,0.0497017892644135,0.216699801192843,0.268389662027833,0.0894632206759443,0.248508946322068,0.240556660039761,0.375745526838966,0.924453280318091,0.0576540755467197,0.168986083499006,0.813121272365805,0.170974155069582,0.0755467196819085,0.10934393638171,0.345924453280318,0.298210735586481,0.129224652087475,0.465208747514911,0.186878727634195,0.0695825049701789,0,0.0099403578528827,0.0576540755467197,0.288270377733598,0.0974155069582505,0.0675944333996024,0.131212723658052,0.572564612326044,0.121272365805169,0.0497017892644135
"1003_1","WB0462","WB0462_2016_8_30_Rep",1003,1,1,0.0530451866404715,0.304518664047151,0.174852652259332,0.306483300589391,0.119842829076621,0.0216110019646365,0.0609037328094303,0.0216110019646365,0.0707269155206287,0.50098231827112,0.0275049115913556,0.0805500982318271,0.0726915520628684,0.363457760314342,0.220039292730845,0.068762278978389,0.0235756385068762,0.031434184675835,0.149312377210216,0.0157170923379175,0.129666011787819,0.0216110019646365,0.129666011787819,0.239685658153242,0.243614931237721,0.0157170923379175,0.0392927308447937,0.0353634577603143,0.695481335952849,0.0707269155206287,0.00982318271119843,0.0333988212180747,0.275049115913556,0.298624754420432,0.0884086444007858,0.222003929273084,0.280943025540275,0.280943025540275,0.941060903732809,0.0471512770137525,0.178781925343811,0.80943025540275,0.147347740667976,0.0589390962671906,0.0746561886051081,0.381139489194499,0.337917485265226,0.111984282907662,0.447937131630648,0.214145383104126,0.0766208251473477,0,0.0176817288801572,0.0392927308447937,0.332023575638507,0.0805500982318271,0.0569744597249509,0.100196463654224,0.632612966601179,0.106090373280943,0.0412573673870334
"1004_0","SR0087","SR0087_2016_8_31",1004,0,1,0.00499168053244592,0.0482529118136439,0.309484193011647,0.537437603993344,0.0965058236272879,0.00998336106489185,0.00665557404326123,0.00332778702163062,0.0682196339434276,0.662229617304492,0.0149750415973378,0.13477537437604,0.0133111480865225,0.743760399334443,0.124792013311148,0.0133111480865225,0.00332778702163062,0.0149750415973378,0.0266222961730449,0.00831946755407654,0.678868552412646,0.0415973377703827,0.131447587354409,0.427620632279534,0.254575707154742,0.0133111480865225,0,0.00831946755407654,0.790349417637271,0.0632279534109817,0.00166389351081531,0.0149750415973378,0.0848585690515807,0.517470881863561,0.116472545757072,0.304492512479201,0.121464226289517,0.718801996672213,0.995008319467554,0.00166389351081531,0.00499168053244592,0.995008319467554,0.00831946755407654,0.18801996672213,0.475873544093178,0.154742096505824,0.173044925124792,0.495840266222962,0.341098169717138,0.0482529118136439,0.0765391014975042,0,0.111480865224626,0.124792013311148,0.158069883527454,0.116472545757072,0.0399334442595674,0.314475873544093,0.311148086522463,0.00665557404326123,0.00166389351081531
"1005_0","SR0095","SR0095_2016_9_1",1005,0,1,0.00166389351081531,0.183028286189684,0.445923460898502,0.306156405990017,0.0582362728785358,0.0382695507487521,0.00831946755407654,0.0382695507487521,0.0532445923460898,0.314475873544093,0.0299500831946755,0.341098169717138,0.0449251247920133,0.599001663893511,0.136439267886855,0.0232945091514143,0.021630615640599,0.0232945091514143,0.0998336106489185,0.00332778702163062,0.490848585690516,0.0698835274542429,0.402662229617305,0.143094841930116,0.201331114808652,0.021630615640599,0,0.00499168053244592,0.760399334442596,0.021630615640599,0.00998336106489185,0.0282861896838602,0.0981697171381032,0.482529118136439,0.336106489184692,0.296173044925125,0.337770382695508,0.48585690515807,1,0,0,1,0.0149750415973378,0.10648918469218,0.437603993344426,0.282861896838602,0.158069883527454,0.366056572379368,0.472545757071547,0.0632279534109817,0.043261231281198,0,0.302828618968386,0.381031613976705,0.133111480865225,0.101497504159734,0.194675540765391,0.462562396006656,0.284525790349418,0.0149750415973378,0
"1006_0","SR0091","SR0091_2016_9_12",1006,0,1,0.0116472545757072,0.104825291181364,0.700499168053245,0.161397670549085,0.0183028286189684,0.0166389351081531,0.00499168053244592,0.0366056572379368,0.0682196339434276,0.530782029950083,0,0.202995008319468,0.021630615640599,0.801996672212978,0.0299500831946755,0.00665557404326123,0,0,0.0133111480865225,0,0.643926788685524,0.0532445923460899,0.284525790349418,0.0748752079866889,0.454242928452579,0,0,0.00665557404326123,0.846921797004992,0.00831946755407654,0,0.00332778702163062,0.0299500831946755,0.29783693843594,0.198003327787022,0.495840266222962,0.24126455906822,0.579034941763727,0.995008319467554,0.00332778702163062,0.00166389351081531,0.998336106489185,0.0931780366056572,0.46089850249584,0.199667221297837,0.198003327787022,0.0482529118136439,0.264559068219634,0.59234608985025,0.0798668885191348,0.0282861896838602,0,0.151414309484193,0.1630615640599,0.0482529118136439,0.0782029950083195,0.10648918469218,0.59234608985025,0.1630615640599,0.0915141430948419,0.00166389351081531
"1007_0","SR0092","SR0092_2016_9_13",1007,0,1,0.0461285008237232,0.168039538714992,0.667215815485997,0.0411861614497529,0.0181219110378913,0.0131795716639209,0.0461285008237232,0.0939044481054366,0.014827018121911,0.245469522240527,0.00494233937397035,0.336079077429984,0.0774299835255354,0.650741350906096,0.0214168039538715,0.0181219110378913,0.00329489291598023,0.00494233937397035,0.00494233937397035,0,0.525535420098847,0.0873146622734761,0.408566721581549,0.0296540362438221,0.242174629324547,0.00329489291598023,0,0.0345963756177924,0.757825370675453,0,0,0.00658978583196046,0.0691927512355848,0.387149917627677,0.43492586490939,0.347611202635914,0.443163097199341,0.365733113673806,0.990115321252059,0.00329489291598023,0,1,0.0988467874794069,0.28995057660626,0.357495881383855,0.179571663920923,0.0741350906095552,0.397034596375618,0.502471169686985,0.0230642504118616,0,0,0.313014827018122,0.339373970345964,0.0741350906095552,0.0230642504118616,0.105436573311367,0.56836902800659,0.151565074135091,0.0971993410214168,0.00164744645799012
"1007_1","SR0092","SR0092_2016_9_13_Rep",1007,1,1,0.0448504983388704,0.0863787375415282,0.740863787375415,0.0647840531561462,0.0149501661129568,0.0215946843853821,0.0149501661129568,0.0730897009966777,0.0315614617940199,0.146179401993355,0.0116279069767442,0.548172757475083,0.0697674418604651,0.739202657807309,0.0398671096345515,0.0166112956810631,0.00996677740863787,0.0116279069767442,0.0382059800664452,0.00166112956810631,0.634551495016611,0.0747508305647841,0.617940199335548,0.0182724252491694,0.151162790697674,0,0,0.0382059800664452,0.847176079734219,0,0,0.0116279069767442,0.0930232558139535,0.59468438538206,0.611295681063123,0.149501661129568,0.63953488372093,0.176079734219269,0.983388704318937,0.0132890365448505,0,1,0.122923588039867,0.144518272425249,0.559800664451827,0.121262458471761,0.0514950166112957,0.616279069767442,0.307308970099668,0.00830564784053156,0.00830564784053156,0,0.528239202657807,0.549833887043189,0.0514950166112957,0.026578073089701,0.0514950166112957,0.651162790697674,0.144518272425249,0.109634551495017,0.0132890365448505
